Date,Avg_price,Avg Sold Price,Days on Market,Price_index
2024-02-01,649900,647000,18,125
2024-01-01,630000,620456,30,125
2023-12-01,639945,626500,31,125
2023-11-01,649000,638000,22,125
2023-10-01,657944,651400,18,126
2023-09-01,650000,650000,17,126
2023-08-01,650000,650040,17,126
2023-07-01,659000,665000,14,126
2023-06-01,669000,680000,12,126
2023-05-01,675000,685000,11,126
2023-04-01,659900,666500,13,126
2023-03-01,649900,650000,13,127
2023-02-01,649999,649000,16,127
2023-01-01,639000,626500,21,127
2022-12-01,639900,630000,24,127
2022-11-01,650000,645000,18,127
2022-10-01,669950,658000,18,127
2022-09-01,678250,670000,18,127
2022-08-01,679000,660000,20,128
2022-07-01,689450,675106,17,128
2022-06-01,694500,687000,14,128
2022-05-01,689400,703250,10,127
2022-04-01,688800,730000,8,127
2022-03-01,689945,748000,7,127
2022-02-01,659400,745000,6,126
2022-01-01,649900,708000,7,125
2021-12-01,629900,651000,14,124
2021-11-01,630000,648000,12,124
2021-10-01,635000,655000,11,123
2021-09-01,629900,650000,10,121
2021-08-01,628888,640000,13,121
2021-07-01,639000,645000,12,120
2021-06-01,610000,640000,9,119
2021-05-01,608000,640000,8,119
2021-04-01,599900,641000,7,117
2021-03-01,600000,647000,7,115
2021-02-01,599900,618000,11,114
2021-01-01,589900,581250,21,112
2020-12-01,575000,565000,29,111
2020-11-01,578850,569500,18,110
2020-10-01,589000,580000,16,110
2020-09-01,599000,597000,15,109
2020-08-01,599000,600000,13,108
2020-07-01,599900,615000,12,107
2020-06-01,599900,610000,11,107
2020-05-01,599400,595050,14,107
2020-04-01,579900,580000,14,106
2020-03-01,599000,635000,7,106
2020-02-01,599900,641500,8,106
