Date,Avg_price,Avg Sold Price,Days on Market,Price_index
2024-02-01,799000,825000,17,125
2024-01-01,799000,780000,40,125
2023-12-01,764000,732500,34,125
2023-11-01,799900,799500,19,125
2023-10-01,780000,765000,20,126
2023-09-01,799000,825000,17,126
2023-08-01,799900,843000,14,126
2023-07-01,815000,850000,15,126
2023-06-01,799000,836000,12,126
2023-05-01,765000,857900,11,126
2023-04-01,799900,861000,11,126
2023-03-01,759500,792500,11,127
2023-02-01,749900,775786,14,127
2023-01-01,749500,735500,17,127
2022-12-01,749900,750000,22,127
2022-11-01,699900,750000,15,127
2022-10-01,799000,808500,16,127
2022-09-01,799000,790000,17,127
2022-08-01,749000,774500,16,128
2022-07-01,798000,780000,17,128
2022-06-01,799900,840000,11,128
2022-05-01,799000,850000,9,127
2022-04-01,798000,875000,8,127
2022-03-01,789000,901000,7,127
2022-02-01,798000,925000,6,126
2022-01-01,750000,900000,5,125
2021-12-01,748888,825000,8,124
2021-11-01,717450,824000,7,124
2021-10-01,749000,805000,8,123
2021-09-01,720000,780000,8,121
2021-08-01,699900,750000,11,121
2021-07-01,699949,758250,11,120
2021-06-01,699888,755000,9,119
2021-05-01,692750,736000,8,119
2021-04-01,699000,766900,7,117
2021-03-01,698400,760000,6,115
2021-02-01,698500,761400,6,114
2021-01-01,659000,694900,10,112
2020-12-01,638800,655000,15,111
2020-11-01,649900,656000,17,110
2020-10-01,650000,663000,13,110
2020-09-01,688000,690500,11,109
2020-08-01,644000,659900,11,108
2020-07-01,650000,685000,9,107
2020-06-01,679000,675000,10,107
2020-05-01,645450,653250,16,107
2020-04-01,658800,680000,14,106
2020-03-01,599900,660100,7,106
2020-02-01,649990,700224,8,106
