Date,Avg List price,Avg Sold Price,Days on Market,Price_index
2024-02-01,1299900,1370000,8,125
2024-01-01,1258800,1250000,18,125
2023-12-01,1288000,1250000,24,125
2023-11-01,1259400,1250000,14,125
2023-10-01,1299000,1325000,11,126
2023-09-01,1383500,1380000,9,126
2023-08-01,1275000,1300000,11,126
2023-07-01,1296389,1349500,10,126
2023-06-01,1300000,1410500,7,126
2023-05-01,1399900,1500000,7,126
2023-04-01,1399000,1483000,7,126
2023-03-01,1349000,1375000,7,127
2023-02-01,1388000,1372900,9,127
2023-01-01,1295000,1288800,13,127
2022-12-01,1259500,1247500,19,127
2022-11-01,1299000,1266500,12,127
2022-10-01,1288000,1240000,12,127
2022-09-01,1349000,1320000,9,127
2022-08-01,1289945,1295000,14,128
2022-07-01,1299000,1260000,13,128
2022-06-01,1349000,1360000,8,128
2022-05-01,1438000,1510000,7,127
2022-04-01,1448000,1561870,7,127
2022-03-01,1388000,1600000,6,127
2022-02-01,1399700,1685000,7,126
2022-01-01,1378350,1580000,7,125
2021-12-01,1295000,1435000,8,124
2021-11-01,1288000,1437250,7,124
2021-10-01,1299900,1438000,7,123
2021-09-01,1288000,1406500,7,121
2021-08-01,1249894,1330000,9,121
2021-07-01,1249000,1320000,8,120
2021-06-01,1288000,1330000,7,119
2021-05-01,1289450,1393000,7,119
2021-04-01,1285000,1400000,7,117
2021-03-01,1238500,1400000,6,115
2021-02-01,1248000,1375000,7,114
2021-01-01,1299000,1350000,7,112
2020-12-01,1192500,1228000,12,111
2020-11-01,1149000,1207400,9,110
2020-10-01,1099000,1175000,8,110
2020-09-01,1099000,1181000,7,109
2020-08-01,1099900,1200000,8,108
2020-07-01,1199000,1231500,8,107
2020-06-01,1185000,1225000,7,107
2020-05-01,1144444,1159500,11,107
2020-04-01,993950,975000,14,106
2020-03-01,1049000,1159000,7,106
2020-02-01,1189950,1249400,7,106
