ID,Date,House listings,Houses sold,Residential units created
1,2020-02-01,10613,2576,3991
2,2020-03-01,14424,2611,2678
3,2020-04-01,6174,962,3379
4,2020-05-01,9104,1446,4503
5,2020-06-01,16153,2794,3193
6,2020-07-01,17956,3495,4274
7,2020-08-01,17492,3287,4678
8,2020-09-01,20420,3423,4023
9,2020-10-01,17805,3353,5334
10,2020-11-01,14061,2893,4481
11,2020-12-01,7034,2541,4617
12,2021-01-01,7848,2540,5564
13,2021-02-01,10970,3623,3455
14,2021-03-01,22709,5159,5837
15,2021-04-01,20825,4539,6278
16,2021-05-01,18586,4141,3584
17,2021-06-01,16189,3715,4853
18,2021-07-01,12551,3096,6042
19,2021-08-01,10609,2968,3952
20,2021-09-01,13483,3151,5682
21,2021-10-01,15535,3819,5300
22,2021-11-01,10486,3002,4221
23,2021-12-01,4809,1860,3703
24,2022-01-01,7979,2145,4115
25,2022-02-01,11186,3327,4150
26,2022-03-01,20047,3459,3592
27,2022-04-01,18413,2878,3171
28,2022-05-01,18679,2481,3143
29,2022-06-01,16347,2372,4541
30,2022-07-01,12046,1427,2092
31,2022-08-01,10537,1735,4623
32,2022-09-01,14325,1627,2780
33,2022-10-01,16290,1766,1753
34,2022-11-01,11875,1682,3897
35,2022-12-01,5735,1137,4983
36,2023-01-01,7688,1199,4450
37,2023-02-01,10981,1787,4580
38,2023-03-01,15940,2536,5831
39,2023-04-01,18906,2747,4144
40,2023-05-01,17411,3268,3800
41,2023-06-01,15223,2754,4298
42,2023-07-01,12338,2044,4123
43,2023-08-01,11502,1855,2822
44,2023-09-01,13759,1783,3798
45,2023-10-01,14496,1860,2759
46,2023-11-01,9425,1650,3354
47,2023-12-01,4624,1239,2248
48,2024-01-01,5205,1492,2128
49,2024-02-01,7463,1702,2799
